Time [s], Analyzer Name, Decoded Protocol Result
3.573333320000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573341320000000,SPI,MOSI: 0x00;  MISO: 0x44
3.573404240000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573412240000000,SPI,MOSI: 0x00;  MISO: 0x44
3.573474860000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573482860000000,SPI,MOSI: 0x00;  MISO: 0x44
3.573544540000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573552540000000,SPI,MOSI: 0x00;  MISO: 0x44
3.573614440000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573622440000000,SPI,MOSI: 0x00;  MISO: 0x44
3.573686800000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573694800000000,SPI,MOSI: 0x00;  MISO: 0x44
3.573756380000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573764380000000,SPI,MOSI: 0x00;  MISO: 0x44
3.573826880000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573834880000000,SPI,MOSI: 0x00;  MISO: 0x44
3.573896580000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573904580000000,SPI,MOSI: 0x00;  MISO: 0x44
3.573966740000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573974740000000,SPI,MOSI: 0x00;  MISO: 0x44
3.574036360000000,SPI,MOSI: 0x88;  MISO: 0x00
3.574044360000000,SPI,MOSI: 0x00;  MISO: 0x44
3.574105780000000,SPI,MOSI: 0x88;  MISO: 0x00
3.574113780000000,SPI,MOSI: 0x00;  MISO: 0x44
3.574176780000000,SPI,MOSI: 0x88;  MISO: 0x00
3.574184780000000,SPI,MOSI: 0x00;  MISO: 0x44
3.574246560000000,SPI,MOSI: 0x88;  MISO: 0x00
3.574254560000000,SPI,MOSI: 0x00;  MISO: 0x44
3.574316220000000,SPI,MOSI: 0x88;  MISO: 0x00
3.574324220000000,SPI,MOSI: 0x00;  MISO: 0x44
3.574386120000000,SPI,MOSI: 0x88;  MISO: 0x00
3.574394120000000,SPI,MOSI: 0x00;  MISO: 0x44
3.574457880000000,SPI,MOSI: 0x88;  MISO: 0x00
3.574465880000000,SPI,MOSI: 0x00;  MISO: 0x44
3.574527460000000,SPI,MOSI: 0x88;  MISO: 0x00
3.574535440000000,SPI,MOSI: 0x00;  MISO: 0x44
3.574597100000000,SPI,MOSI: 0x88;  MISO: 0x00
3.574605100000000,SPI,MOSI: 0x00;  MISO: 0x44
3.574666460000000,SPI,MOSI: 0x88;  MISO: 0x00
3.574674460000000,SPI,MOSI: 0x00;  MISO: 0x44
3.574784600000000,SPI,MOSI: 0x88;  MISO: 0x00
3.574792600000000,SPI,MOSI: 0x00;  MISO: 0x44
3.574860140000000,SPI,MOSI: 0x88;  MISO: 0x00
3.574868140000000,SPI,MOSI: 0x00;  MISO: 0x44
3.574931440000000,SPI,MOSI: 0x88;  MISO: 0x00
3.574939440000000,SPI,MOSI: 0x00;  MISO: 0x44
3.575001740000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575009740000000,SPI,MOSI: 0x00;  MISO: 0x44
3.575074960000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575082960000000,SPI,MOSI: 0x00;  MISO: 0x44
3.575146040000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575154040000000,SPI,MOSI: 0x00;  MISO: 0x44
3.575215800000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575223800000000,SPI,MOSI: 0x00;  MISO: 0x44
3.575285620000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575293620000000,SPI,MOSI: 0x00;  MISO: 0x44
3.575355340000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575363340000000,SPI,MOSI: 0x00;  MISO: 0x44
3.575425120000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575433120000000,SPI,MOSI: 0x00;  MISO: 0x44
3.575496820000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575504820000000,SPI,MOSI: 0x00;  MISO: 0x44
3.575567640000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575575640000000,SPI,MOSI: 0x00;  MISO: 0x44
